City_ID,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
252,port macquarie,-31.4333,152.9167,18.31,87,92,2.56,AU,1714883109
253,anadyr,64.75,177.4833,-0.72,68,0,9.0,RU,1714883109
254,victoria falls,-17.9235,25.843,13.09,55,0,1.49,ZW,1714883109
255,merizo village,13.2658,144.6691,32.31,81,11,5.41,GU,1714883109
256,kruisfontein,-34.0033,24.7314,12.71,82,31,0.69,ZA,1714883109
257,kenai,60.5544,-151.2583,7.3,72,100,2.57,US,1714883110
258,richards bay,-28.783,32.0377,17.67,83,1,2.73,ZA,1714883110
259,kapuskasing,49.4169,-82.4331,14.0,62,100,4.63,CA,1714883101
260,new norfolk,-42.7826,147.0587,14.72,41,4,0.79,AU,1714883110
261,al burayqah,30.4062,19.5739,17.68,66,0,5.7,LY,1714883110
262,monrovia,6.3005,-10.7969,26.87,89,100,1.63,LR,1714883110
263,pangkalanbuun,-2.6833,111.6167,26.32,91,93,1.49,ID,1714883110
264,budaun,28.05,79.1167,38.58,9,8,2.7,IN,1714883111
265,cam ranh,11.9214,109.1591,33.98,55,20,6.69,VN,1714883111
266,madalena,41.2162,-8.3345,14.86,94,96,3.53,PT,1714883111
267,al hazm,16.1641,44.7769,27.08,38,18,4.39,YE,1714883111
268,banda aceh,5.5577,95.3222,29.92,71,97,1.62,ID,1714883111
269,joshimath,30.5667,79.5667,19.08,36,1,1.71,IN,1714883111
270,de aar,-30.6497,24.0123,14.35,55,0,2.66,ZA,1714883111
271,kayangel,8.0823,134.7173,28.79,69,100,6.6,PW,1714883111
272,khandyga,62.6667,135.6,4.67,89,92,1.06,RU,1714883112
273,coahuayana de hidalgo,18.7,-103.6583,21.13,91,10,1.36,MX,1714883112
274,bureya,49.8133,129.8131,15.53,39,43,5.86,RU,1714883112
275,haiku-pauwela,20.9219,-156.3051,24.01,74,40,9.26,US,1714883112
276,guymon,36.6828,-101.4816,14.0,72,100,3.09,US,1714883112
277,lebu,-37.6167,-73.65,10.01,79,86,4.2,CL,1714883112
278,praia da vitoria,38.7333,-27.0667,15.14,88,20,2.67,PT,1714883112
279,sisimiut,66.9395,-53.6735,-10.29,85,46,3.76,GL,1714883113
280,uri,34.0833,74.0333,21.48,58,5,3.06,IN,1714883113
281,oranjemund,-28.55,16.4333,13.77,90,0,2.41,NA,1714883113
282,carnarvon,-24.8667,113.6333,25.83,43,0,7.54,AU,1714883113
283,santa cruz,-17.8,-63.1667,20.7,100,75,0.0,BO,1714882845
284,libreville,0.3925,9.4537,26.17,91,96,2.63,GA,1714883113
285,poxoreo,-15.8372,-54.3892,22.94,73,22,1.46,BR,1714883114
286,berani,25.785,68.8069,34.25,27,0,4.17,PK,1714883114
287,el abiodh sidi cheikh,32.893,0.5484,18.54,14,68,3.01,DZ,1714883114
288,daru,-9.0763,143.2092,27.09,89,100,8.07,PG,1714883114
289,zouerate,22.7187,-12.4521,23.17,14,0,3.59,MR,1714883114
290,tobruk,32.0836,23.9764,17.08,67,0,9.7,LY,1714883114
291,dudinka,69.4058,86.1778,-8.51,87,36,2.68,RU,1714883114
292,beauvais,49.4167,2.0,8.09,94,100,1.54,FR,1714883115
293,cox's bazar,21.4532,91.9798,30.54,69,98,3.78,BD,1714883115
294,cauquenes,-35.9671,-72.3225,8.01,88,100,1.03,CL,1714883115
295,kwangmyong,37.4772,126.8664,18.93,94,100,5.14,KR,1714883115
296,puerto aysen,-45.4,-72.7,1.97,98,91,1.91,CL,1714883019
297,tofol,5.3248,163.0078,30.88,74,75,5.66,FM,1714883115
298,katghora,22.5,82.55,39.7,7,58,1.06,IN,1714883115
299,kingston,17.997,-76.7936,28.53,74,20,1.54,JM,1714883078
300,berezovyy,51.6667,135.7,10.33,42,99,3.53,RU,1714883116
301,coronel dorrego,-38.7187,-61.2873,12.69,74,93,5.75,AR,1714883116
302,afaahiti,-17.75,-149.2833,26.93,82,52,8.86,PF,1714883116
303,le port,-20.9373,55.2919,24.0,74,41,1.81,RE,1714883116
304,taulaga,-11.0553,-171.0883,28.85,74,100,2.19,AS,1714883116
305,progreso,21.2833,-89.6667,30.06,68,0,5.73,MX,1714883116
306,essaouira,31.5125,-9.77,14.72,67,0,1.54,MA,1714883116
307,keflavik,64.0049,-22.5624,3.95,93,75,4.63,IS,1714883116
308,okha,53.5739,142.9478,2.92,56,98,2.68,RU,1714883117
309,bubaque,11.2833,-15.8333,26.49,69,4,4.34,GW,1714883117
310,kasempa,-13.4584,25.8338,13.11,80,83,2.08,ZM,1714883117
311,yuzhno-kurilsk,44.0306,145.8556,6.88,80,100,5.09,RU,1714883117
312,polewali,-3.4324,119.3435,28.03,83,97,1.34,ID,1714883117
313,ilulissat,69.2167,-51.1,-5.99,68,100,3.09,GL,1714883117
314,santa rita,-7.1139,-34.9781,25.37,94,75,1.03,BR,1714883117
315,chernyshevskiy,63.0128,112.4714,0.93,95,100,2.83,RU,1714883118
316,qarazhal,48.0078,70.7903,9.73,85,100,5.14,KZ,1714883118
317,orchard homes,46.8633,-114.0484,17.08,23,0,3.6,US,1714883118
318,solnechnyy,50.7214,136.6319,8.91,50,99,3.21,RU,1714883118
319,kaspiyskiy,45.3929,47.3707,11.0,73,100,6.3,RU,1714882877
320,turpan,42.9333,89.1667,32.77,6,93,3.56,CN,1714883118
321,zhaotong,27.3167,103.7167,17.96,38,100,1.1,CN,1714883118
322,noumea,-22.2763,166.4572,25.99,61,88,6.05,NC,1714883118
323,recani,31.2846,-4.2688,20.8,9,7,2.4,MA,1714883119
324,vilyuchinsk,52.9306,158.4028,6.15,94,100,2.35,RU,1714883119
325,sao felix do xingu,-6.6447,-51.995,23.0,97,6,0.61,BR,1714883119
326,severo-yeniseyskiy,60.3725,93.0408,1.43,78,37,4.02,RU,1714882880
327,coquimbo,-29.9533,-71.3436,10.85,76,0,1.54,CL,1714882938
